StationID,StationName,StationType,Elevation(m),Longitude,Latitude,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
52633,托勒,基本站,3367,98.41666667,38.81666667,,,,,,,230.9,358.4,218.8,272.5,203.2,223,303.3,314.1,279.8,278.8,262,231.6,266.6,265.9,298.7,340.5,228.9,298.4,277.5,267.1,338,235.4,293.5,252.9,359.3,329.9,380.2,265.8,329,304.9,273.4,275.6,365.6,239,246.8,318.4,364.7,239.9,204.9,262.5,180.7,404.4,294.2,314.7,295.5,307.5,353.3,287.9,362.5,271.8,404.3,307.6,394.6,350.6,315.3,322.3,358.8,361.2,388.5,301.5
52645,野牛沟,基本站,3314,99.6,38.43333333,,,,,,,,,344.4,430.6,387.7,336,392.3,414.7,381,362.4,430.8,344.9,388.7,275.6,410.3,463.6,350.5,385.5,412.3,458.3,452.7,445.8,374.6,406.3,448.4,383.5,460,411.4,398.1,428.8,370.7,496.6,527.1,416.1,274.9,330.7,448.1,363.9,373.8,448.9,321.4,602.3,341.3,357,365.2,398.3,504.3,389.3,463.4,414.2,532.1,509.1,553.8,459.1,472.8,454.7,468.6,529.2,411.9,539.5
52657,祁连,基本站,2787.4,100.25,38.18333333,,,,,,,399,413.6,388.3,389.5,372.8,337.4,382.9,439.7,394.1,394.7,443.1,392.7,466.1,309.1,382.4,370.5,354.1,409.6,413.7,409,355.5,378.8,432.3,364.9,452.1,403.4,492.2,355.5,372.1,390.9,363.7,490.2,485.5,421,348.8,357.2,438,421.1,399.1,428,367.6,573.1,416.8,357.9,350,372.8,546.8,349.2,426.3,412.4,382.5,494.9,451.4,331,433.3,391.9,465.7,564.3,448.2,515.1
52707,小灶火,基本站,2767,93.68333333,36.8,,,,,,,,,,,12.7,11.8,31,23.3,6.7,19.3,31.2,21.4,37,35.3,21,47.9,29.4,,31.4,23.9,28.8,20.3,23.3,23.3,29.6,28.1,34.3,20.9,11.5,27.8,25.9,34.3,59.9,27.4,33.5,31.1,26.7,18.7,21,27.1,39.3,37,30.2,8.7,9.9,16.4,24.2,32.6,42.6,42.1,42.1,24.2,36.1,48.3,24.8,67.5,18.2,11.2,32,13.2
52713,大柴旦,基本站,3173.2,95.35,37.85,,,,,,,46.4,106.5,64.6,59.6,46.9,76.7,66,106.9,35.6,116.3,166.9,55,79.5,133.9,95.6,96.1,80.5,90.3,88.5,33.7,131.8,43.2,85.6,62,117.9,101.6,100.8,57.7,42.5,101.1,87.8,108.6,102.7,49.5,121.8,147.2,91.1,56.9,44.8,62.3,61.9,87.9,75.8,53.9,49.2,164.9,114.2,88.1,95.2,115.3,124.8,115.9,100.6,142.8,65.1,131.6,50.8,63.4,163.1,79
52737,德令哈,基本站,2981.5,97.38333333,37.36666667,,,,,,60.4,70,114.9,121,155.4,80.5,95.4,144.7,91,95.7,119.4,211.9,86,143.6,197.5,138.1,82.5,129.8,178.9,161.9,145.4,318.7,121.9,192.4,159.3,194.4,198.3,159.9,128.4,166.5,227.2,167.1,244.8,282.5,187.8,167,207.2,189.2,155.8,155.2,155.4,168.6,196.6,146.7,195.7,158.6,299,196.1,286.9,225,141.7,246.3,246.1,326.6,265.1,165.7,306.5,123.6,189.7,232.8,248.9
52754,刚察,基准站,13301.5,100.1333333,37.33333333,,,,,,,,415.1,356.7,322.5,347.1,311.9,407,407.3,361,328.6,499.5,345.4,393.3,369.3,425,408.3,290.7,393,442.8,357.8,329.3,303.3,375.4,325.7,407.2,365.9,384.8,350.7,474.9,384.8,418.1,515.8,458.8,260.1,300.8,308.9,397.1,371.1,349.9,409.7,363.6,380.1,408.5,419.6,297.5,372.2,344.9,427.9,427.7,415.5,441.9,395.8,416,396.8,423.7,371.2,375.3,571.9,421.3,570.6
52765,门源,基本站,12850,101.6166667,37.38333333,,,,,,,572.6,619.4,492.4,611.9,535.2,380.8,521.8,622.7,466.9,495.3,582.9,479.7,464.2,589.1,539.9,456.3,513.8,514.3,536.8,520.8,485.8,505.6,511.2,445,633.6,490.9,541.1,474.8,604.9,469.3,487,631.5,730.7,519.5,431.5,599.4,560.8,501,522.6,463.5,479.6,555.5,404,512.2,523.2,452,615.2,524.3,525.3,626.9,561.1,437,498.4,557.6,504.2,484.9,421.9,642.5,471.7,601.1
52818,格尔木,基准站,2807.6,94.91666667,36.41666667,,,,,,18.8,28.8,28.2,47.6,36.4,19.7,46.3,36.3,48.2,11.4,33.9,101.8,26.5,25.5,65.6,66.9,28.8,34.1,23.9,36,23.6,68,32.1,44.7,36.6,52.1,57.5,43.8,38.4,27.4,56.2,47.8,52.1,48.8,17.5,37.4,54.2,22.5,43.5,36,55.4,41.9,65,44.9,25.9,28.3,56.6,30.9,32.2,41.9,44.2,59.1,43.5,59.9,90.8,31.3,62.4,19,37.4,72.7,46.9
52825,诺木洪,基本站,2790.4,96.43333333,36.43333333,,,,,,,29.7,39,34.6,38.3,29.7,43.7,52.5,31.9,17.6,36.4,82.8,23.4,29.7,56.3,57.2,25.4,44.8,22.8,45.7,25.8,52.1,23.2,55.9,35.3,28,65.8,36.7,28.6,46.4,61.2,46,73.8,91.4,30.7,32.6,44.6,28.1,45.2,23.6,47.8,64.4,80.1,36.3,29.2,27.4,59.4,25.2,71.1,54.2,47.6,57,58.8,64.6,145,41.3,44.5,33.2,31.5,101.2,26.7
52833,乌兰,基本站,12950,98.48333333,36.93333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.6,151.7,160.7,132.5,157.7,218.5,230.6,187.3,326.9,121.3,144.4,188.4,147,174.3,146.3,151.4,174,228.2,179.5,140.7,120.9,196.8,178.5,225.2,296.6,157.8,262.2,226.2,273.5,255.3,213.5,229.8,138.1,161.7,297.1,323.3
52836,都兰,基本站,3189,98.1,36.3,,,,178.7,174.2,146.4,171.6,198.5,275.9,142.9,120.1,108.6,171.6,172.9,125.4,163.9,323.3,107.2,234.2,236.8,193.6,125,155.4,164.1,184.8,238,194,149.1,195.2,187.3,208.5,191.5,175.7,134.8,173.2,230.3,237.7,237.6,318.4,171.1,185.4,230,169.9,212.2,167.3,174.7,202.9,213.7,183.9,212.4,123.6,337.6,142.5,270.6,278.4,242.6,281.5,229.8,273.6,318.7,218.5,300.7,154,212.4,260.8,207.4
52842,茶卡,一般站,3087.6,99.08333333,36.78333333,,,,,,122.8,240.9,317,259.6,136.2,202.7,150.7,228,243.3,218.1,151.6,395.9,166,174,173.4,268.8,158.9,178.4,232.9,236,203.8,134.4,141.3,156.6,135.6,287.4,228.3,160.5,156.9,201.8,285.3,226.2,198.7,426.8,160.8,209.2,252.8,226.3,193.3,175.2,182.9,162.7,241.3,249.4,176.6,135.2,221.5,174.9,182.3,310.9,197.6,251.9,206.2,321.7,262.7,251,254.9,295.8,163.9,251.9,303.1
